MONTH,HEARING_OFFICE_NAME,HEARING_OFFICE_TIMES_IN_MONTHS,HO_CODE,REGION,SITE_CODE
04/2024,,,,,
202404,AKRON OH,7.0,5380.0,5.0,T1P
202404,ALBANY,9.0,5024.0,2.0,X37
202404,ALBUQUERQUE,9.0,5077.0,6.0,X12
202404,ALEXANDRIA,8.0,5075.0,6.0,X14
202404,ATLANTA DOWNTOWN,8.0,5039.0,4.0,Y13
202404,ATLANTA NORTH,7.0,5091.0,4.0,X83
202404,BALTIMORE,12.0,5030.0,3.0,T21
202404,BILLINGS,11.0,5376.0,8.0,X60
202404,BIRMINGHAM,7.0,5040.0,4.0,X77
202404,BOSTON,9.0,5018.0,1.0,T24
202404,BRONX,13.0,5200.0,2.0,X36
202404,BUFFALO,10.0,5023.0,2.0,X34
202404,CHARLESTON SC,9.0,5113.0,4.0,Y18
202404,CHARLESTON WV,8.0,5026.0,3.0,Y09
202404,CHARLOTTE,8.0,5052.0,4.0,T27
202404,CHARLOTTESVILLE,10.0,5103.0,3.0,X39
202404,CHATTANOOGA,7.0,5047.0,4.0,X49
202404,CHICAGO,6.0,5062.0,5.0,Y26
202404,CINCINNATI,8.0,5056.0,5.0,Y27
202404,CLEVELAND,7.0,5057.0,5.0,X85
202404,COLORADO SPRINGS,9.0,5167.0,8.0,T75
202404,COLUMBIA MO,9.0,5375.0,7.0,T2F
202404,COLUMBIA SC,6.0,5046.0,4.0,T22
202404,COLUMBUS,7.0,5060.0,5.0,X09
202404,COVINGTON GA,9.0,5106.0,4.0,T1I
202404,DALLAS DOWNTOWN,8.0,5070.0,6.0,Y33
202404,DALLAS NORTH OHO,8.5,5181.0,6.0,T18
202404,DAYTON,8.5,5201.0,5.0,Y31
202404,DENVER,10.0,5079.0,8.0,X17
202404,DES MOINES,7.0,5068.0,7.0,X16
202404,DETROIT,9.0,5058.0,5.0,T17
202404,DOVER,12.0,5104.0,3.0,T40
202404,ELKINS PARK,8.0,5136.0,3.0,T26
202404,EUGENE,11.0,5149.0,10.0,X99
202404,EVANSTON,7.0,5118.0,5.0,Y30
202404,EVANSVILLE,7.0,5119.0,5.0,X84
