RPTG_PRD_ENDT,ALJ_DISPS_PER_DAY_PER_ALJ,HEARING_OFFICE,RANK,REGION,WORKDAYS
04/26/2024,,,,,
04/26/2024,2.29,COLUMBIA MO,1.0,7.0,143.0
04/26/2024,2.26,ALBUQUERQUE,2.0,6.0,143.0
04/26/2024,2.26,JOHNSTOWN,2.0,3.0,143.0
04/26/2024,2.15,CHARLESTON WV,4.0,3.0,143.0
04/26/2024,2.15,DALLAS NORTH OHO,4.0,6.0,143.0
04/26/2024,2.13,FARGO,6.0,8.0,143.0
04/26/2024,2.09,SALT LAKE CITY,7.0,8.0,143.0
04/26/2024,2.09,FORT MYERS FL,7.0,4.0,143.0
04/26/2024,2.04,FAYETTEVILLE NC,9.0,4.0,143.0
04/26/2024,2.04,HONOLULU,9.0,9.0,143.0
04/26/2024,2.02,GRAND RAPIDS,11.0,5.0,143.0
04/26/2024,1.96,PADUCAH,12.0,4.0,143.0
04/26/2024,1.96,PORTLAND ME,12.0,1.0,143.0
04/26/2024,1.95,AKRON OH,14.0,5.0,143.0
04/26/2024,1.94,MCALESTER,15.0,6.0,143.0
04/26/2024,1.93,FORT SMITH,16.0,6.0,143.0
04/26/2024,1.92,PEORIA,17.0,5.0,143.0
04/26/2024,1.91,OAK BROOK,18.0,5.0,143.0
04/26/2024,1.88,SPRINGFIELD MO,19.0,7.0,143.0
04/26/2024,1.88,HUNTINGTON WV,19.0,3.0,143.0
04/26/2024,1.87,FORT WAYNE,21.0,5.0,143.0
04/26/2024,1.87,PORTLAND OR,21.0,10.0,143.0
04/26/2024,1.86,MT PLEASANT MI,23.0,5.0,143.0
04/26/2024,1.86,INDIANAPOLIS,23.0,5.0,143.0
04/26/2024,1.86,LIVONIA MI,23.0,5.0,143.0
04/26/2024,1.85,RIO GRANDE VALLEY TX,26.0,6.0,143.0
04/26/2024,1.85,ROCHESTER,26.0,2.0,143.0
04/26/2024,1.85,SACRAMENTO,26.0,9.0,143.0
04/26/2024,1.84,ALEXANDRIA,29.0,6.0,143.0
04/26/2024,1.83,STOCKTON,30.0,9.0,143.0
04/26/2024,1.83,EVANSTON,30.0,5.0,143.0
04/26/2024,1.83,ROANOKE,30.0,3.0,143.0
04/26/2024,1.82,COLUMBUS,33.0,5.0,143.0
04/26/2024,1.81,HOUSTON NORTH,34.0,6.0,143.0
04/26/2024,1.8,EVANSVILLE,35.0,5.0,143.0
04/26/2024,1.8,LAS VEGAS,35.0,9.0,143.0
04/26/2024,1.79,VALPARAISO IN,37.0,5.0,143.0
04/26/2024,1.79,PROVIDENCE,37.0,1.0,143.0
04/26/2024,1.78,MINNEAPOLIS,39.0,5.0,143.0
04/26/2024,1.77,MILWAUKEE,40.0,5.0,143.0
04/26/2024,1.77,NORWALK,40.0,9.0,143.0
04/26/2024,1.76,ORANGE,42.0,9.0,143.0
04/26/2024,1.76,LANSING,42.0,5.0,143.0
04/26/2024,1.76,LAWRENCE MA,42.0,1.0,143.0
04/26/2024,1.74,LEXINGTON,45.0,4.0,143.0
04/26/2024,1.74,MORENO VALLEY,45.0,9.0,143.0
04/26/2024,1.73,DENVER,47.0,8.0,143.0
04/26/2024,1.73,CLEVELAND,47.0,5.0,143.0
04/26/2024,1.72,NEW ORLEANS,49.0,6.0,143.0
04/26/2024,1.72,KINGSPORT,49.0,4.0,143.0
04/26/2024,1.71,EUGENE,51.0,10.0,143.0
04/26/2024,1.7,HARRISBURG,52.0,3.0,143.0
04/26/2024,1.7,MIDDLESBORO,52.0,4.0,143.0
04/26/2024,1.7,MEMPHIS,52.0,4.0,143.0
04/26/2024,1.7,SYRACUSE,52.0,2.0,143.0
04/26/2024,1.69,LITTLE ROCK,56.0,6.0,143.0
04/26/2024,1.69,CINCINNATI,56.0,5.0,143.0
04/26/2024,1.68,FLINT,58.0,5.0,143.0
04/26/2024,1.68,MADISON,58.0,5.0,143.0
