RPTG_PRD_ENDT,AVERAGE_PROCESSING_TIME,CASES_PENDING,DISPOSITIONS,OFFICE,RECEIPTS,REGION
04/26/2024,,,,,,
04/26/2024,249.0,2177.0,2057.0,AKRON OH,2024.0,5.0
04/26/2024,361.0,2474.0,1737.0,ALBANY,1582.0,2.0
04/26/2024,309.0,2699.0,1104.0,ALBUQUERQUE,1810.0,6.0
04/26/2024,356.0,1502.0,1774.0,ALEXANDRIA,1136.0,6.0
04/26/2024,,0.0,0.0,ANCHORAGE Satellite Of,-1.0,10.0
04/26/2024,409.0,1921.0,1979.0,ATLANTA DOWNTOWN,1622.0,4.0
04/26/2024,313.0,952.0,1242.0,ATLANTA NORTH,963.0,4.0
04/26/2024,532.0,2635.0,1796.0,BALTIMORE,1372.0,3.0
04/26/2024,418.0,1596.0,1008.0,BILLINGS,1145.0,8.0
04/26/2024,299.0,2296.0,2005.0,BIRMINGHAM,1863.0,4.0
04/26/2024,366.0,1726.0,1037.0,BOSTON,1342.0,1.0
04/26/2024,520.0,1868.0,994.0,BRONX,1021.0,2.0
04/26/2024,383.0,3016.0,1309.0,BUFFALO,1783.0,2.0
04/26/2024,407.0,1199.0,1069.0,CHARLESTON SC,614.0,4.0
04/26/2024,314.0,1569.0,1258.0,CHARLESTON WV,933.0,3.0
04/26/2024,378.0,2117.0,2077.0,CHARLOTTE,1436.0,4.0
04/26/2024,369.0,1111.0,704.0,CHARLOTTESVILLE,997.0,3.0
04/26/2024,336.0,1685.0,1595.0,CHATTANOOGA,1014.0,4.0
04/26/2024,300.0,2166.0,2260.0,CHICAGO,2090.0,5.0
04/26/2024,308.0,1922.0,1392.0,CINCINNATI,1480.0,5.0
04/26/2024,278.0,2830.0,2837.0,CLEVELAND,2794.0,5.0
04/26/2024,355.0,1708.0,1230.0,COLORADO SPRINGS,1011.0,8.0
04/26/2024,374.0,546.0,654.0,COLUMBIA MO,436.0,7.0
04/26/2024,274.0,1522.0,2135.0,COLUMBIA SC,1460.0,4.0
04/26/2024,310.0,2359.0,2178.0,COLUMBUS,2137.0,5.0
04/26/2024,389.0,1486.0,1592.0,COVINGTON GA,1106.0,4.0
04/26/2024,,2.0,0.0,CREVE COEUR,-1.0,7.0
04/26/2024,354.0,2204.0,1541.0,DALLAS DOWNTOWN,1728.0,6.0
04/26/2024,347.0,3447.0,3055.0,DALLAS NORTH OHO,2472.0,6.0
04/26/2024,319.0,1965.0,1081.0,DAYTON,1262.0,5.0
04/26/2024,349.0,2775.0,1990.0,DENVER,2003.0,8.0
