RPTG_PRD_ENDT,AVERAGE_PROCESSING_TIME,HEARING_OFFICE,RANK,REGION,WORKDAYS
04/26/2024,,,,,
04/26/2024,154.0,NATL ADJUDICATION TEAM,1.0,12.0,143.0
04/26/2024,241.0,TUPELO,2.0,4.0,143.0
04/26/2024,246.0,EVANSVILLE,3.0,5.0,143.0
04/26/2024,249.0,HOUSTON NORTH,4.0,6.0,143.0
04/26/2024,249.0,AKRON OH,4.0,5.0,143.0
04/26/2024,251.0,GRAND RAPIDS,6.0,5.0,143.0
04/26/2024,252.0,KINGSPORT,7.0,4.0,143.0
04/26/2024,253.0,NASHVILLE,8.0,4.0,143.0
04/26/2024,253.0,TOPEKA KS,8.0,7.0,143.0
04/26/2024,256.0,RIO GRANDE VALLEY TX,10.0,6.0,143.0
04/26/2024,256.0,FRANKLIN TN,10.0,4.0,143.0
04/26/2024,259.0,PADUCAH,12.0,4.0,143.0
04/26/2024,261.0,MONTGOMERY,13.0,4.0,143.0
04/26/2024,263.0,TALLAHASSEE FL OHO,14.0,4.0,143.0
04/26/2024,264.0,JACKSON MS OHO,15.0,4.0,143.0
04/26/2024,264.0,FORT WAYNE,15.0,5.0,143.0
04/26/2024,265.0,ST PETERSBURG FL OHO,17.0,4.0,143.0
04/26/2024,268.0,FLORENCE,18.0,4.0,143.0
04/26/2024,271.0,GREENVILLE,19.0,4.0,143.0
04/26/2024,271.0,OAK PARK,19.0,5.0,143.0
04/26/2024,272.0,LANSING,21.0,5.0,143.0
04/26/2024,274.0,COLUMBIA SC,22.0,4.0,143.0
04/26/2024,278.0,MOBILE,23.0,4.0,143.0
04/26/2024,278.0,CLEVELAND,23.0,5.0,143.0
04/26/2024,278.0,MADISON,23.0,5.0,143.0
04/26/2024,281.0,HATTIESBURG,26.0,4.0,143.0
04/26/2024,282.0,PROVIDENCE,27.0,1.0,143.0
04/26/2024,283.0,PEORIA,28.0,5.0,143.0
04/26/2024,283.0,LIVONIA MI,28.0,5.0,143.0
04/26/2024,284.0,TOLEDO OH,30.0,5.0,143.0
04/26/2024,285.0,VALPARAISO IN,31.0,5.0,143.0
04/26/2024,287.0,FORT SMITH,32.0,6.0,143.0
04/26/2024,289.0,OMAHA,33.0,7.0,143.0
04/26/2024,289.0,MIDDLESBORO,33.0,4.0,143.0
04/26/2024,290.0,SYRACUSE,35.0,2.0,143.0
04/26/2024,291.0,LEXINGTON,36.0,4.0,143.0
04/26/2024,294.0,KNOXVILLE,37.0,4.0,143.0
04/26/2024,294.0,WHITE PLAINS,37.0,2.0,143.0
04/26/2024,297.0,EVANSTON,39.0,5.0,143.0
